tract2010,tract2020,weight,allocated_pop2010,method
55025013302,55025013302,1.00000000,5620.00,population
55025013700,55025013700,1.00000000,4644.00,population
55025991702,55025991702,1.00000000,0.00,area
55025991703,55025010300,0.33333333,0.00,area
55025991703,55025010400,0.33333333,0.00,area
55025991703,55025991703,0.33333333,0.00,area
55027960100,55027960100,1.00000000,6008.00,population
55027960200,55027960200,0.99999575,3170.99,population
55027960200,55027961200,0.00000425,0.01,population
55027960300,55027960200,0.00040561,3.25,population
55027960300,55027960300,0.99959439,7999.75,population
55027960400,55027960400,0.99837769,4343.94,population
55027960400,55027960500,0.00162231,7.06,population
55027960500,55027960500,0.99999825,3884.99,population
55027960500,55027960600,0.00000175,0.01,population
55027960600,55027960600,0.99952952,3986.12,population
55027960600,55027961000,0.00047048,1.88,population
55027960700,55027960700,1.00000000,4606.00,population
55027960800,55027960800,1.00000000,3537.00,population
55027960900,55027960900,1.00000000,4167.00,population
55027961000,55027961000,1.00000000,4473.00,population
55027961100,55027961100,1.00000000,4550.00,population
55027961200,55027960200,0.00825306,27.58,population
55027961200,55027961200,0.99174694,3314.42,population
55027961300,55027961300,0.99909112,5340.14,population
55027961300,55027961400,0.00090888,4.86,population
55027961400,55027961200,0.00000037,0.00,population
55027961400,55027961400,0.99994544,4019.78,population
55027961400,55027961500,0.00005419,0.22,population
55027961500,55027961500,1.00000000,5220.00,population
55027961600,55027961600,1.00000000,4412.00,population
55027961700,55027961700,0.99988244,3057.64,population
55027961700,55027961900,0.00011756,0.36,population
55027961800,55021971200,0.00001321,0.06,population
55027961800,55027961800,0.99998679,4411.94,population
55027961900,55027961700,0.00009258,0.54,population
55027961900,55027961900,0.99990742,5783.46,population
55027962000,55027962000,1.00000000,2427.00,population
55029100100,55029100100,0.98872397,2187.06,population
55029100100,55029100400,0.01127603,24.94,population
55029100300,55029100300,0.99454550,2371.00,population
55029100300,55029100400,0.00545450,13.00,population
55029100400,55029100300,0.00507968,13.00,population
55029100400,55029100400,0.99491976,2546.00,population
55029100400,55029100500,0.00000056,0.00,population
55029100500,55029100400,0.00851841,28.00,population
55029100500,55029100500,0.99148159,3259.00,population
55029100600,55029100600,1.00000000,3337.00,population
55029100700,55029100700,1.00000000,4707.00,population
55029100800,55029100800,1.00000000,5263.00,population
55029100900,55029100900,1.00000000,1852.00,population
55029101000,55029101000,1.00000000,2184.00,population
55029990000,55029990000,1.00000000,0.00,area
55031020300,55031020300,1.00000000,2870.00,population
55031020400,55031020400,1.00000000,3189.00,population
55031020500,55031020500,1.00000000,3090.00,population
55031020600,55031020600,1.00000000,4438.00,population
55031020700,55031020700,0.99758862,4137.00,population
55031020700,55031030200,0.00241138,10.00,population
55031020800,55031020800,1.00000000,3477.00,population
55031020900,55031020900,1.00000000,2396.00,population
55031021000,55031021000,1.00000000,1955.00,population
55031021100,55031021100,1.00000000,2257.00,population
55031030100,55031030101,0.65399725,4085.52,population
55031030100,55031030102,0.34593137,2161.03,population
55031030100,55031030301,0.00007138,0.45,population
55031030200,55031030101,0.00059042,2.97,population
55031030200,55031030200,0.99911067,5022.53,population
55031030200,55031030301,0.00029892,1.50,population
55031030300,55031030101,0.00052039,2.64,population
55031030300,55031030200,0.00002643,0.13,population
55031030300,55031030301,0.57945116,2935.50,population
55031030300,55031030302,0.42000202,2127.73,population
55031990000,55031990000,1.00000000,0.00,area
55033970100,55033970100,1.00000000,3879.00,population
55033970200,55033970200,1.00000000,4737.00,population
55033970300,55033970300,1.00000000,5625.00,population
55033970400,55033970400,1.00000000,6094.00,population
55033970500,55033970500,1.00000000,6373.00,population
55033970600,55033970400,0.00003031,0.13,population
55033970600,55033970600,0.99900069,4123.87,population
55033970600,55033970700,0.00096899,4.00,population
